year,set,subject,marks,source_url
2013,1,Linear Algebra,1,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Calculus,1,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Numerical Methods,1,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Mathematical Logic,4,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Set Theory & Algebra,1,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Combinatory,0,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Graph Theory,3,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Digital Logic,5,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,CO & Architecture,9,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Programming,2,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Data Structures,3,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Algorithms,13,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Theory of Computation,8,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Compiler Design,3,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Operating System,12,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Databases,7,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Computer Networks,7,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Quantitative Aptitude,9,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
2013,1,Verbal Aptitude,6,https://docs.google.com/spreadsheets/d/1ELvXc5h1iMOv31KZ4m6UQQZq3J8g-nVhZNlTP9Vpiuc/edit?gid=935355893
